,predicted_mean
74129,-20.490281428178694
74130,-20.477470538119423
74131,-20.46426880005241
74132,-20.45114668654706
74133,-20.438103717358214
74134,-20.42513941513724
74135,-20.41225330541459
74136,-20.399444916582404
74137,-20.38671377987726
74138,-20.374059429363033
74139,-20.36148140191382
74140,-20.348979237197014
74141,-20.33655247765643
74142,-20.324200668495582
74143,-20.311923357661033
74144,-20.299720095825837
74145,-20.28759043637311
74146,-20.275533935379684
74147,-20.263550151599848
74148,-20.251638646449212
74149,-20.23979898398865
74150,-20.228030730908344
74151,-20.216333456511926
74152,-20.20470673270072
74153,-20.193150133958078
74154,-20.181663237333787
74155,-20.17024562242861
74156,-20.158896871378893
74157,-20.14761656884127
74158,-20.136404301977468
74159,-20.12525966043919
74160,-20.114182236353106
74161,-20.103171624305915
74162,-20.09222742132952
74163,-20.08134922688627
74164,-20.0705366428543
74165,-20.059789273512976
74166,-20.049106725528393
74167,-20.038488607938987
74168,-20.027934532141238
74169,-20.01744411187542
74170,-20.007016963211505
74171,-19.99665270453507
74172,-19.986350956533357
74173,-19.976111342181383
74174,-19.96593348672814
74175,-19.955817017682886
74176,-19.945761564801508
74177,-19.935766760072966
74178,-19.925832237705833
74179,-19.91595763411491
74180,-19.906142587907915
74181,-19.89638673987225
74182,-19.88668973296186
74183,-19.877051212284172
74184,-19.867470825087107
74185,-19.85794822074615
74186,-19.84848305075154
74187,-19.83907496869551
74188,-19.829723630259597
74189,-19.820428693202064
74190,-19.811189817345344
74191,-19.802006664563617
74192,-19.792878898770425
74193,-19.783806185906364
74194,-19.774788193926877
74195,-19.76582459279008
74196,-19.756915054444697
74197,-19.748059252818052
74198,-19.739256863804137
74199,-19.730507565251738
74200,-19.721811036952666
74201,-19.713166960630012
74202,-19.704575019926523
74203,-19.69603490039301
74204,-19.687546289476842
74205,-19.679108876510515
74206,-19.670722352700267
74207,-19.662386411114788
74208,-19.65410074667399
74209,-19.645865056137826
74210,-19.637679038095207
74211,-19.629542392952967
74212,-19.621454822924896
74213,-19.613416032020844
74214,-19.605425726035882
74215,-19.59748361253954
74216,-19.589589400865115
74217,-19.581742802099008
74218,-19.573943529070178
74219,-19.566191296339603
74220,-19.558485820189862
74221,-19.550826818614738
74222,-19.543214011308887
74223,-19.535647119657604
74224,-19.528125866726604
74225,-19.5206499772519
74226,-19.51321917762971
74227,-19.505833195906483
74228,-19.498491761768893
74229,-19.49119460653399
74230,-19.483941463139352
74231,-19.476732066133298
74232,-19.46956615166519
74233,-19.46244345747577
74234,-19.45536372288757
74235,-19.448326688795348
74236,-19.441332097656634
74237,-19.434379693482285
74238,-19.427469221827135
74239,-19.420600429780652
74240,-19.41377306595772
74241,-19.40698688048941
74242,-19.400241625013837
74243,-19.3935370526671
74244,-19.3868729180742
74245,-19.380248977340106
74246,-19.373664988040797
74247,-19.367120709214404
74248,-19.360615901352386
74249,-19.354150326390773
74250,-19.347723747701437
74251,-19.34133593008345
74252,-19.33498663975446
74253,-19.328675644342155
74254,-19.322402712875732
74255,-19.31616761577747
74256,-19.309970124854306
74257,-19.303810013289503
74258,-19.29768705563433
74259,-19.29160102779983
74260,-19.285551707048608
74261,-19.279538871986674
74262,-19.273562302555348
74263,-19.267621780023212
74264,-19.26171708697809
74265,-19.25584800731911
74266,-19.250014326248774
74267,-19.244215830265105
74268,-19.23845230715385
74269,-19.232723545980683
74270,-19.22702933708351
74271,-19.221369472064787
74272,-19.215743743783882
74273,-19.21015194634952
74274,-19.204593875112216
74275,-19.19906932665682
74276,-19.193578098795037
74277,-19.188119990558054
74278,-19.18269480218917
74279,-19.177302335136503
74280,-19.17194239204569
74281,-19.1666147767527
74282,-19.161319294276634
74283,-19.1560557508126
74284,-19.150823953724615
74285,-19.145623711538544
74286,-19.140454833935117
74287,-19.135317131742937
74288,-19.13021041693158
74289,-19.125134502604702
74290,-19.120089202993192
74291,-19.11507433344839
74292,-19.110089710435314
74293,-19.105135151525957
74294,-19.100210475392593
74295,-19.095315501801156
74296,-19.090450051604638
74297,-19.085613946736533
74298,-19.080807010204317
74299,-19.07602906608298
74300,-19.071279939508575
74301,-19.066559456671822
74302,-19.061867444811753
74303,-19.057203732209388
74304,-19.052568148181443
74305,-19.04796052307409
74306,-19.04338068825674
74307,-19.03882847611589
74308,-19.034303720048964
74309,-19.029806254458236
74310,-19.025335914744755
74311,-19.020892537302327
74312,-19.016475959511535
74313,-19.012086019733772
74314,-19.00772255730534
74315,-19.00338541253155
74316,-18.99907442668091
74317,-18.99478944197928
74318,-18.99053030160412
74319,-18.98629684967875
74320,-18.98208893126663
74321,-18.97790639236571
74322,-18.97374907990277
74323,-18.969616841727845
74324,-18.96550952660863
74325,-18.96142698422497
74326,-18.95736906516334
74327,-18.953335620911385
74328,-18.94932650385248
74329,-18.945341567260332
74330,-18.941380665293607
74331,-18.937443652990602
74332,-18.933530386263918
74333,-18.929640721895215
74334,-18.92577451752994
74335,-18.92193163167215
74336,-18.918111923679305
74337,-18.914315253757135
74338,-18.91054148295452
74339,-18.906790473158406
74340,-18.90306208708875
74341,-18.899356188293496
74342,-18.895672641143584
74343,-18.892011310827975
74344,-18.888372063348736
74345,-18.884754765516114
74346,-18.881159284943678
74347,-18.87758549004347
74348,-18.87403325002118
74349,-18.870502434871383
74350,-18.866992915372748
74351,-18.86350456308333
74352,-18.86003725033587
74353,-18.856590850233115
74354,-18.853165236643175
74355,-18.849760284194907
74356,-18.846375868273327
74357,-18.843011865015058
74358,-18.83966815130378
74359,-18.836344604765735
74360,-18.833041103765247
74361,-18.829757527400275
74362,-18.82649375549797
74363,-18.823249668610305
74364,-18.82002514800968
74365,-18.816820075684586
74366,-18.81363433433528
74367,-18.810467807369506
74368,-18.80732037889822
74369,-18.804191933731335
74370,-18.801082357373527
74371,-18.797991536020042
74372,-18.79491935655251
74373,-18.791865706534825
74374,-18.788830474209036
74375,-18.785813548491227
74376,-18.78281481896748
74377,-18.779834175889828
74378,-18.776871510172228
74379,-18.773926713386572
74380,-18.770999677758738
74381,-18.768090296164605
74382,-18.765198462126182
74383,-18.762324069807672
74384,-18.759467014011612
74385,-18.756627190175028
74386,-18.753804494365607
74387,-18.750998823277886
74388,-18.748210074229476
74389,-18.7454381451573
74390,-18.742682934613867
74391,-18.739944341763554
74392,-18.737222266378907
74393,-18.734516608836987
74394,-18.73182727011572
74395,-18.72915415179026
74396,-18.726497156029414
74397,-18.72385618559203
74398,-18.72123114382346
74399,-18.718621934652013
74400,-18.71602846258545
74401,-18.713450632707467
74402,-18.710888350674253
74403,-18.708341522711
74404,-18.705810055608506
74405,-18.703293856719743
74406,-18.700792833956466
74407,-18.698306895785855
74408,-18.69583595122716
74409,-18.693379909848364
74410,-18.690938681762876
74411,-18.688512177626254
74412,-18.686100308632923
74413,-18.683702986512916
74414,-18.68132012352867
74415,-18.678951632471794
74416,-18.676597426659878
74417,-18.67425741993333
74418,-18.671931526652223
74419,-18.669619661693144
74420,-18.667321740446106
74421,-18.66503767881142
74422,-18.662767393196646
74423,-18.660510800513517
74424,-18.6582678181749
74425,-18.656038364091774
74426,-18.653822356670233
74427,-18.651619714808493
74428,-18.64943035789392
74429,-18.64725420580009
74430,-18.645091178883842
74431,-18.64294119798239
74432,-18.640804184410385
74433,-18.63868005995708
74434,-18.636568746883427
74435,-18.634470167919268
74436,-18.632384246260482
74437,-18.63031090556618
74438,-18.62825006995591
74439,-18.6262016640069
74440,-18.624165612751256
74441,-18.622141841673265
74442,-18.620130276706636
74443,-18.618130844231796
74444,-18.616143471073205
74445,-18.61416808449667
74446,-18.612204612206682
74447,-18.610252982343777
74448,-18.608313123481903
74449,-18.606384964625796
74450,-18.604468435208403
74451,-18.602563465088277
74452,-18.600669984547025
74453,-18.598787924286754
74454,-18.59691721542752
74455,-18.595057789504835
74456,-18.593209578467135
74457,-18.591372514673306
74458,-18.5895465308902
74459,-18.587731560290173
74460,-18.585927536448654
74461,-18.58413439334169
74462,-18.582352065343553
74463,-18.580580487224324
74464,-18.57881959414751
74465,-18.577069321667672
74466,-18.57532960572806
74467,-18.573600382658285
74468,-18.571881589171966
74469,-18.57017316236443
74470,-18.56847503971041
74471,-18.566787159061743
74472,-18.56510945864511
74473,-18.56344187705977
74474,-18.561784353275314
74475,-18.560136826629424
74476,-18.558499236825664
74477,-18.556871523931267
74478,-18.55525362837494
74479,-18.55364549094469
74480,-18.55204705278565
74481,-18.550458255397935
74482,-18.548879040634485
74483,-18.547309350698953
74484,-18.545749128143584
74485,-18.544198315867106
74486,-18.54265685711265
74487,-18.541124695465665
74488,-18.539601774851864
74489,-18.538088039535157
74490,-18.536583434115627
74491,-18.535087903527486
74492,-18.53360139303707
74493,-18.53212384824084
74494,-18.530655215063376
74495,-18.52919543975542
74496,-18.527744468891875
74497,-18.52630224936989
74498,-18.52486872840689
74499,-18.52344385353865
74500,-18.522027572617375
74501,-18.520619833809796
74502,-18.519220585595267
74503,-18.517829776763886
74504,-18.51644735641461
74505,-18.515073273953405
74506,-18.513707479091387
74507,-18.512349921842983
74508,-18.511000552524095
74509,-18.509659321750302
74510,-18.508326180435024
74511,-18.507001079787752
74512,-18.50568397131224
74513,-18.50437480680475
74514,-18.503073538352275
74515,-18.501780118330785
74516,-18.500494499403498
74517,-18.499216634519126
74518,-18.497946476910172
74519,-18.49668398009121
74520,-18.495429097857183
74521,-18.494181784281718
74522,-18.492941993715434
74523,-18.491709680784282
74524,-18.490484800387886
74525,-18.489267307697876
74526,-18.488057158156266
74527,-18.486854307473813
74528,-18.485658711628403
74529,-18.484470326863434
74530,-18.483289109686208
74531,-18.482115016866356
74532,-18.48094800543425
74533,-18.479788032679416
74534,-18.478635056149
74535,-18.477489033646176
74536,-18.47634992322864
74537,-18.475217683207045
74538,-18.4740922721435
74539,-18.472973648850036
74540,-18.471861772387097
74541,-18.470756602062057
74542,-18.469658097427722
74543,-18.46856621828084
74544,-18.46748092466066
74545,-18.466402176847424
74546,-18.46532993536096
74547,-18.4642641609592
74548,-18.46320481463677
74549,-18.46215185762355
74550,-18.461105251383245
74551,-18.460064957612005
74552,-18.459030938236992
74553,-18.458003155415007
74554,-18.45698157153109
74555,-18.45596614919716
74556,-18.45495685125062
74557,-18.45395364075304
74558,-18.452956480988757
74559,-18.451965335463562
74560,-18.45098016790336
74561,-18.45000094225283
74562,-18.449027622674127
74563,-18.44806017354554
74564,-18.44709855946022
74565,-18.446142745224858
74566,-18.445192695858424
74567,-18.444248376590856
74568,-18.443309752861815
74569,-18.4423767903194
74570,-18.4414494548189
74571,-18.440527712421552
74572,-18.439611529393275
74573,-18.43870087220347
74574,-18.43779570752375
74575,-18.43689600222677
74576,-18.436001723384965
74577,-18.435112838269383
74578,-18.434229314348464
74579,-18.433351119286865
74580,-18.432478220944265
74581,-18.431610587374195
74582,-18.430748186822864
74583,-18.429890987728
74584,-18.4290389587177
74585,-18.428192068609274
74586,-18.427350286408103
74587,-18.426513581306512
74588,-18.425681922682635
74589,-18.4248552800993
74590,-18.424033623302915
74591,-18.423216922222355
74592,-18.422405146967865
74593,-18.421598267829967
74594,-18.420796255278372
74595,-18.419999079960903
74596,-18.41920671270241
74597,-18.418419124503714
74598,-18.41763628654054
74599,-18.416858170162456
74600,-18.416084746891844
74601,-18.415315988422833
74602,-18.414551866620283
74603,-18.413792353518748
74604,-18.41303742132144
74605,-18.412287042399242
74606,-18.411541189289665
74607,-18.410799834695858
74608,-18.410062951485614
74609,-18.40933051269036
74610,-18.408602491504194
74611,-18.40787886128288
74612,-18.407159595542886
74613,-18.40644466796041
74614,-18.405734052370423
74615,-18.405027722765702
74616,-18.40432565329589
74617,-18.403627818266532
74618,-18.40293419213816
74619,-18.402244749525334
74620,-18.401559465195724
74621,-18.40087831406919
74622,-18.40020127121685
74623,-18.39952831186019
74624,-18.39885941137014
74625,-18.39819454526617
74626,-18.397533689215408
74627,-18.396876819031743
74628,-18.396223910674934
74629,-18.39557494024974
74630,-18.39492988400504
74631,-18.39428871833297
74632,-18.39365141976804
74633,-18.393017964986306
74634,-18.392388330804483
74635,-18.391762494179126
74636,-18.391140432205763
74637,-18.390522122118078
74638,-18.389907541287062
74639,-18.389296667220187
74640,-18.38868947756059
74641,-18.388085950086246
74642,-18.387486062709165
74643,-18.386889793474577
74644,-18.386297120560123
74645,-18.385708022275068
74646,-18.3851224770595
74647,-18.38454046348355
