deviceId,sensorTime,vibration mm/s
"WVMS_CC50E30D9E0C01","05-09-2023 16:38","5.5"
"WVMS_CC50E30D9E0C01","05-09-2023 16:43","6.2"
"WVMS_CC50E30D9E0C01","05-09-2023 16:48","4.6"
"WVMS_CC50E30D9E0C01","05-09-2023 16:53","5.1"
"WVMS_CC50E30D9E0C01","05-09-2023 16:58","4.4"
"WVMS_CC50E30D9E0C01","05-09-2023 17:03","5.0"
"WVMS_CC50E30D9E0C01","05-09-2023 17:08","6.0"
"WVMS_CC50E30D9E0C01","05-09-2023 17:13","5.7"
"WVMS_CC50E30D9E0C01","05-09-2023 17:18","5.3"
"WVMS_CC50E30D9E0C01","05-09-2023 17:23","5.0"
"WVMS_CC50E30D9E0C01","05-09-2023 17:28","4.7"
"WVMS_CC50E30D9E0C01","05-09-2023 17:33","5.0"
"WVMS_CC50E30D9E0C01","05-09-2023 17:38","4.6"
"WVMS_CC50E30D9E0C01","05-09-2023 17:43","5.2"
"WVMS_CC50E30D9E0C01","05-09-2023 17:48","4.9"
"WVMS_CC50E30D9E0C01","05-09-2023 17:53","5.4"
"WVMS_CC50E30D9E0C01","05-09-2023 17:58","4.6"
"WVMS_CC50E30D9E0C01","05-09-2023 18:03","4.7"
"WVMS_CC50E30D9E0C01","05-09-2023 18:08","4.7"
"WVMS_CC50E30D9E0C01","05-09-2023 18:13","6.3"
"WVMS_CC50E30D9E0C01","05-09-2023 18:18","5.9"
"WVMS_CC50E30D9E0C01","05-09-2023 18:23","6.2"
"WVMS_CC50E30D9E0C01","05-09-2023 18:28","6.0"
"WVMS_CC50E30D9E0C01","05-09-2023 18:33","5.0"
"WVMS_CC50E30D9E0C01","05-09-2023 18:38","5.5"
"WVMS_CC50E30D9E0C01","05-09-2023 18:43","5.5"
"WVMS_CC50E30D9E0C01","05-09-2023 18:48","6.1"
"WVMS_CC50E30D9E0C01","05-09-2023 18:53","5.0"
"WVMS_CC50E30D9E0C01","05-09-2023 18:58","6.2"
"WVMS_CC50E30D9E0C01","05-09-2023 19:03","4.9"
"WVMS_CC50E30D9E0C01","05-09-2023 19:08","4.8"
"WVMS_CC50E30D9E0C01","05-09-2023 19:13","5.6"
"WVMS_CC50E30D9E0C01","05-09-2023 19:18","5.8"
"WVMS_CC50E30D9E0C01","05-09-2023 19:23","4.7"
"WVMS_CC50E30D9E0C01","05-09-2023 19:28","5.0"
"WVMS_CC50E30D9E0C01","05-09-2023 19:33","5.1"
"WVMS_CC50E30D9E0C01","05-09-2023 19:38","4.8"
"WVMS_CC50E30D9E0C01","05-09-2023 19:43","5.3"
"WVMS_CC50E30D9E0C01","05-09-2023 19:48","5.9"
"WVMS_CC50E30D9E0C01","05-09-2023 19:53","5.1"
"WVMS_CC50E30D9E0C01","05-09-2023 19:58","5.6"
"WVMS_CC50E30D9E0C01","05-09-2023 20:03","5.6"
"WVMS_CC50E30D9E0C01","05-09-2023 20:54","5.4"
"WVMS_CC50E30D9E0C01","05-09-2023 20:59","5.2"
"WVMS_CC50E30D9E0C01","05-09-2023 21:04","4.2"
"WVMS_CC50E30D9E0C01","05-09-2023 21:09","5.3"
"WVMS_CC50E30D9E0C01","05-09-2023 21:14","4.5"
"WVMS_CC50E30D9E0C01","05-09-2023 21:19","5.5"
"WVMS_CC50E30D9E0C01","05-09-2023 21:24","5.5"
"WVMS_CC50E30D9E0C01","05-09-2023 21:29","5.5"
"WVMS_CC50E30D9E0C01","05-09-2023 21:34","5.5"
"WVMS_CC50E30D9E0C01","05-09-2023 21:39","5.3"
"WVMS_CC50E30D9E0C01","05-09-2023 21:44","5.0"
"WVMS_CC50E30D9E0C01","05-09-2023 21:49","5.3"
"WVMS_CC50E30D9E0C01","05-09-2023 21:54","5.3"
"WVMS_CC50E30D9E0C01","05-09-2023 21:59","5.2"
"WVMS_CC50E30D9E0C01","05-09-2023 22:04","5.4"
"WVMS_CC50E30D9E0C01","05-09-2023 22:09","5.2"
