Date_and_Time,Temperature_2_8
9/22/2023 10:12,6.44
9/22/2023 10:27,6.5
9/22/2023 10:42,6.56
9/22/2023 10:57,6.75
9/22/2023 11:12,7.44
9/22/2023 11:27,7.88
9/22/2023 11:42,8.31
9/22/2023 11:57,8.81
9/22/2023 12:12,8.81
9/22/2023 12:27,8.69
9/22/2023 12:42,8.88
9/22/2023 12:57,8.88
9/22/2023 13:12,8.69
9/22/2023 13:27,8.5
9/22/2023 13:42,8.25
9/22/2023 13:57,8.13
9/22/2023 14:12,8
9/22/2023 14:27,7.88
9/22/2023 14:42,7.88
9/22/2023 14:57,7.88
9/22/2023 15:12,7.81
9/22/2023 15:27,7.44
9/22/2023 15:42,6.88
9/22/2023 15:57,6.38
9/22/2023 16:12,6
9/22/2023 16:27,5.75
9/22/2023 16:42,5.69
9/22/2023 16:57,5.81
9/22/2023 17:12,5.88
9/22/2023 17:27,5.94
9/22/2023 17:42,6
9/22/2023 17:57,6.06
9/22/2023 18:12,6.06
9/22/2023 18:27,6.06
9/22/2023 18:42,6.06
9/22/2023 18:57,6
9/22/2023 19:12,5.94
9/22/2023 19:27,5.88
9/22/2023 19:42,5.75
9/22/2023 19:57,5.69
9/22/2023 20:12,5.69
9/22/2023 20:27,5.81
9/22/2023 20:42,5.94
9/22/2023 20:57,6.06
9/22/2023 21:12,6.19
9/22/2023 21:27,6.19
9/22/2023 21:42,6.25
9/22/2023 21:57,6.31
9/22/2023 22:12,6.31
9/22/2023 22:27,6.31
9/22/2023 22:42,6.31
9/22/2023 22:57,6.31
9/22/2023 23:12,6.31
9/22/2023 23:27,6.31
9/22/2023 23:42,6.31
9/22/2023 23:57,6.31
9/23/2023 00:12,6.25
9/23/2023 00:27,6.25
9/23/2023 00:42,6.25
9/23/2023 00:57,6.19
9/23/2023 01:12,6.25
9/23/2023 01:27,6.19
9/23/2023 01:42,6.19
9/23/2023 01:57,6.19
9/23/2023 02:12,6.19
9/23/2023 02:27,6.13
9/23/2023 02:42,6.19
9/23/2023 02:57,6.13
9/23/2023 03:12,6.13
9/23/2023 03:27,6.13
9/23/2023 03:42,6.13
9/23/2023 03:57,6.13
9/23/2023 04:12,6.19
9/23/2023 04:27,6.19
9/23/2023 04:42,6.19
9/23/2023 04:57,6.19
9/23/2023 05:12,6.19
9/23/2023 05:27,6.19
9/23/2023 05:42,6.13
9/23/2023 05:57,6.13
9/23/2023 06:12,6.13
9/23/2023 06:27,6.13
9/23/2023 06:42,6.13
9/23/2023 06:57,6.13
9/23/2023 07:12,6.13
9/23/2023 07:27,6.13
9/23/2023 07:42,6.13
9/23/2023 07:57,6.13
9/23/2023 08:12,6.13
9/23/2023 08:27,6.13
9/23/2023 08:42,6.19
9/23/2023 08:57,6.19
9/23/2023 09:12,6.25
9/23/2023 09:27,6.31
9/23/2023 09:42,6.38
9/23/2023 09:57,6.38
9/23/2023 10:12,6.5
9/23/2023 10:27,6.63
9/23/2023 10:42,7.06
9/23/2023 10:57,7.56
9/23/2023 11:12,7.69
9/23/2023 11:27,7.69
9/23/2023 11:42,7.63
9/23/2023 11:57,7.63
9/23/2023 12:12,7.63
9/23/2023 12:27,7.63
9/23/2023 12:42,7.56
9/23/2023 12:57,7.63
9/23/2023 13:12,7.69
9/23/2023 13:27,7.63
9/23/2023 13:42,7.56
9/23/2023 13:57,7.56
9/23/2023 14:12,7.5
9/23/2023 14:27,7.75
9/23/2023 14:42,7.94
9/23/2023 14:57,7.94
9/23/2023 15:12,7.94
9/23/2023 15:27,7.88
9/23/2023 15:42,7.88
9/23/2023 15:57,7.81
9/23/2023 16:12,7.81
9/23/2023 16:27,7.75
9/23/2023 16:42,7.75
9/23/2023 16:57,7.69
9/23/2023 17:12,7.69
9/23/2023 17:27,7.69
9/23/2023 17:42,7.63
9/23/2023 17:57,7.63
9/23/2023 18:12,7.56
9/23/2023 18:27,7.56
9/23/2023 18:42,7.56
9/23/2023 18:57,7.5
9/23/2023 19:12,7.44
9/23/2023 19:27,7.38
9/23/2023 19:42,7.31
9/23/2023 19:57,7.31
9/23/2023 20:12,7.25
9/23/2023 20:27,7.25
9/23/2023 20:42,7.19
9/23/2023 20:57,7.13
9/23/2023 21:12,7.06
9/23/2023 21:27,7.06
9/23/2023 21:42,7
9/23/2023 21:57,7
9/23/2023 22:12,6.94
9/23/2023 22:27,6.94
9/23/2023 22:42,6.88
9/23/2023 22:57,6.88
9/23/2023 23:12,6.88
9/23/2023 23:27,6.81
9/23/2023 23:42,6.81
9/23/2023 23:57,6.75
9/24/2023 00:12,6.75
9/24/2023 00:27,6.75
9/24/2023 00:42,6.69
9/24/2023 00:57,6.69
9/24/2023 01:12,6.69
9/24/2023 01:27,6.69
9/24/2023 01:42,6.63
9/24/2023 01:57,6.63
9/24/2023 02:12,6.63
9/24/2023 02:27,6.56
9/24/2023 02:42,6.56
9/24/2023 02:57,6.56
9/24/2023 03:12,6.56
9/24/2023 03:27,6.56
9/24/2023 03:42,6.56
9/24/2023 03:57,6.5
9/24/2023 04:12,6.5
9/24/2023 04:27,6.5
9/24/2023 04:42,6.5
9/24/2023 04:57,6.44
9/24/2023 05:12,6.44
9/24/2023 05:27,6.44
9/24/2023 05:42,6.44
9/24/2023 05:57,6.44
9/24/2023 06:12,6.44
9/24/2023 06:27,6.44
9/24/2023 06:42,6.44
9/24/2023 06:57,6.38
9/24/2023 07:12,6.38
9/24/2023 07:27,6.44
9/24/2023 07:42,6.38
9/24/2023 07:57,6.44
9/24/2023 08:12,6.44
9/24/2023 08:27,6.44
9/24/2023 08:42,6.5
9/24/2023 08:57,6.5
9/24/2023 09:12,6.56
9/24/2023 09:27,6.63
9/24/2023 09:42,6.69
9/24/2023 09:57,6.75
9/24/2023 10:12,6.81
9/24/2023 10:27,6.88
9/24/2023 10:42,6.94
9/24/2023 10:57,6.94
9/24/2023 11:12,7.06
9/24/2023 11:27,7
9/24/2023 11:42,6.63
9/24/2023 11:57,6.25
9/24/2023 12:12,6
9/24/2023 12:27,5.94
9/24/2023 12:42,5.81
9/24/2023 12:57,5.88
9/24/2023 13:12,5.94
9/24/2023 13:27,6
9/24/2023 13:42,6.06
9/24/2023 13:57,6.06
9/24/2023 14:12,6.13
9/24/2023 14:27,6.13
9/24/2023 14:42,6.13
9/24/2023 14:57,6.19
9/24/2023 15:12,6.19
9/24/2023 15:27,6.19
9/24/2023 15:42,6.19
9/24/2023 15:57,6.19
9/24/2023 16:12,6.19
9/24/2023 16:27,6.19
9/24/2023 16:42,6.13
9/24/2023 16:57,6.13
9/24/2023 17:12,6.13
9/24/2023 17:27,6.06
9/24/2023 17:42,6.06
9/24/2023 17:57,6
9/24/2023 18:12,5.94
9/24/2023 18:27,5.94
9/24/2023 18:42,5.88
9/24/2023 18:57,5.81
9/24/2023 19:12,5.75
9/24/2023 19:27,5.69
9/24/2023 19:42,5.63
9/24/2023 19:57,5.56
9/24/2023 20:12,5.75
9/24/2023 20:27,6
9/24/2023 20:42,6.25
9/24/2023 20:57,6.44
9/24/2023 21:12,6.56
9/24/2023 21:27,6.75
9/24/2023 21:42,6.81
9/24/2023 21:57,6.94
9/24/2023 22:12,7
9/24/2023 22:27,7.06
9/24/2023 22:42,7.06
9/24/2023 22:57,7.13
9/24/2023 23:12,7.13
9/24/2023 23:27,7.19
9/24/2023 23:42,7.19
9/24/2023 23:57,7.19
9/25/2023 00:12,7.25
9/25/2023 00:27,7.25
9/25/2023 00:42,7.31
9/25/2023 00:57,7.31
9/25/2023 01:12,7.31
9/25/2023 01:27,7.31
9/25/2023 01:42,7.38
9/25/2023 01:57,7.31
9/25/2023 02:12,7.38
9/25/2023 02:27,7.38
9/25/2023 02:42,7.38
9/25/2023 02:57,7.44
9/25/2023 03:12,7.38
9/25/2023 03:27,7.44
9/25/2023 03:42,7.44
9/25/2023 03:57,7.44
9/25/2023 04:12,7.44
9/25/2023 04:27,7.44
9/25/2023 04:42,7.44
9/25/2023 04:57,7.5
9/25/2023 05:12,7.5
9/25/2023 05:27,7.5
9/25/2023 05:42,7.5
9/25/2023 05:57,7.5
9/25/2023 06:12,7.5
9/25/2023 06:27,7.5
9/25/2023 06:42,7.5
9/25/2023 06:57,7.5
9/25/2023 07:12,7.5
9/25/2023 07:27,7.5
9/25/2023 07:42,7.56
9/25/2023 07:57,7.56
9/25/2023 08:12,7.56
9/25/2023 08:27,7.63
9/25/2023 08:42,7.69
9/25/2023 08:57,7.69
9/25/2023 09:12,7.81
9/25/2023 09:27,7.88
9/25/2023 09:42,7.94
9/25/2023 09:57,7.94
9/25/2023 10:12,8.06
9/25/2023 10:27,8.06
9/25/2023 10:42,8.13
9/25/2023 10:57,8.25
9/25/2023 11:12,8.31
9/25/2023 11:27,8.63
9/25/2023 11:42,8.81
9/25/2023 11:57,9.06
9/25/2023 12:12,9.06
9/25/2023 12:27,9.13
9/25/2023 12:42,8.81
9/25/2023 12:57,8.56
9/25/2023 13:12,8.19
9/25/2023 13:27,7.75
9/25/2023 13:42,7.38
9/25/2023 13:57,7
9/25/2023 14:12,6.75
9/25/2023 14:27,6.56
9/25/2023 14:42,6.44
9/25/2023 14:57,6.31
9/25/2023 15:12,6.19
9/25/2023 15:27,6.06
9/25/2023 15:42,6
9/25/2023 15:57,5.94
9/25/2023 16:12,5.88
9/25/2023 16:27,5.81
9/25/2023 16:42,5.81
9/25/2023 16:57,5.69
9/25/2023 17:12,5.63
9/25/2023 17:27,5.69
9/25/2023 17:42,6
9/25/2023 17:57,6.88
9/25/2023 18:12,7.06
9/25/2023 18:27,7
9/25/2023 18:42,6.88
9/25/2023 18:57,6.75
9/25/2023 19:12,6.63
9/25/2023 19:27,6.44
9/25/2023 19:42,6.31
9/25/2023 19:57,6.25
9/25/2023 20:12,6.13
9/25/2023 20:27,6.06
9/25/2023 20:42,5.94
9/25/2023 20:57,5.88
9/25/2023 21:12,5.81
9/25/2023 21:27,5.69
9/25/2023 21:42,5.69
9/25/2023 21:57,5.63
9/25/2023 22:12,5.81
9/25/2023 22:27,5.94
9/25/2023 22:42,6.13
9/25/2023 22:57,6.19
9/25/2023 23:12,6.25
9/25/2023 23:27,6.31
9/25/2023 23:42,6.31
