Mean,Median,Min,Max
12.429,11.1,0.3,30.4
13.317,12.1,0.3,29.8
15.752,13.4,0.3,30.3
13.846,12.2,0.3,31.5
15.715,12.5,0.3,30.5
15.099,11.7,7.7,30.0
15.646,11.8,0.4,30.5
14.13,11.3,0.3,30.4
15.175,11.5,8.4,29.9
12.895,10.6,0.3,29.8
13.868,10.5,7.7,29.8
13.238,10.3,8.3,30.6
13.314,10.5,7.6,30.1
12.273,10.4,0.3,30.6
16.541,16.7,0.0,29.6
17.441,17.1,0.3,30.7
18.871,17.1,8.3,30.4
12.863,10.1,8.5,30.3
11.872,10.0,0.4,30.6
12.695,10.0,0.0,30.5
12.054,9.9,0.3,30.3
11.549,9.8,0.3,30.2
11.716,9.9,0.3,30.3
12.548,10.1,0.3,30.0
11.681,10.0,0.3,31.0
12.446,10.1,0.4,29.6
11.263,10.0,0.3,30.0
12.621,10.2,0.3,30.9
17.501,16.5,0.4,30.3
13.736,10.6,0.4,29.4
11.77,10.1,0.4,31.2
10.368,10.0,0.3,30.3
13.234,10.2,0.3,30.3
10.908,9.6,0.3,30.3
12.565,10.3,8.4,30.2
12.28,10.4,0.4,29.9
11.248,10.4,0.3,30.2
12.204,10.3,8.6,30.6
11.131,10.3,0.3,29.9
12.253,10.5,0.4,31.3
10.439,10.1,0.3,30.9
16.826,17.6,0.0,31.5
14.158,16.9,0.4,30.9
12.687,10.4,8.6,30.7
12.068,10.2,0.0,30.3
14.427,10.5,8.3,30.4
11.293,10.1,0.3,31.5
12.992,10.3,8.3,31.0
10.639,10.2,0.0,30.5
11.819,10.0,7.5,31.0
10.866,10.0,0.3,30.8
12.161,10.2,0.3,30.9
11.377,10.1,0.3,30.0
12.348,10.3,0.0,30.9
11.634,10.2,0.3,30.8
13.463,11.25,0.3,31.9
17.545,17.2,7.8,31.2
13.275,10.8,0.3,31.0
12.381,10.2,7.7,31.0
12.293,10.3,0.4,31.9
12.917,10.3,0.4,31.3
11.698,10.4,0.3,32.6
11.587,10.1,8.6,31.8
12.499,10.5,0.3,32.0
12.403,10.3,0.3,31.8
11.984,10.4,0.0,32.6
13.661,10.6,7.9,32.2
13.038,10.4,7.6,31.9
15.51,11.1,8.4,31.8
17.245,15.9,8.6,31.5
14.816,13.7,7.9,31.9
12.385,10.2,0.0,31.8
12.501,10.3,8.7,31.3
9.959,10.1,0.0,31.1
12.829,10.3,8.1,31.2
11.435,10.2,0.0,31.2
15.57,13.9,7.9,30.6
16.14,16.9,0.0,32.2
13.802,10.6,0.0,31.5
12.319,10.3,8.9,31.5
11.953,10.35,0.0,29.7
