Date/Time,vibration (mm/s)
2024-04-01 04:52:00,0.4
2024-04-01 06:13:00,0.3
2024-04-01 06:14:00,0.4
2024-04-01 06:27:00,0.8
2024-04-01 06:40:00,0.7
2024-04-01 10:53:00,0.4
2024-04-01 10:54:00,0.4
2024-04-01 10:55:00,0.4
2024-04-01 10:56:00,0.4
2024-04-01 10:57:00,0.4
2024-04-01 10:58:00,0.4
2024-04-01 10:59:00,0.4
2024-04-01 11:00:00,0.4
2024-04-01 11:01:00,0.4
2024-04-01 11:02:00,0.4
2024-04-01 11:03:00,0.4
2024-04-01 11:04:00,0.4
2024-04-01 11:05:00,0.4
2024-04-01 11:06:00,0.4
2024-04-01 11:07:00,0.4
2024-04-01 11:08:00,0.4
2024-04-01 11:09:00,0.4
2024-04-01 11:10:00,0.4
2024-04-01 11:11:00,0.4
2024-04-01 11:23:00,0.4
2024-04-01 11:24:00,0.4
2024-04-01 11:25:00,0.4
2024-04-01 11:26:00,0.4
2024-04-01 11:27:00,0.4
2024-04-01 11:28:00,0.4
2024-04-01 11:29:00,0.4
2024-04-01 11:30:00,0.4
2024-04-01 11:31:00,0.4
2024-04-01 11:32:00,0.4
2024-04-01 11:33:00,0.4
2024-04-01 11:34:00,0.4
2024-04-01 11:35:00,0.4
2024-04-01 11:36:00,0.4
2024-04-01 11:37:00,0.4
2024-04-01 11:38:00,0.4
2024-04-01 11:39:00,0.4
2024-04-01 11:40:00,0.4
2024-04-01 11:41:00,0.5
2024-04-01 11:42:00,0.5
2024-04-01 11:43:00,0.5
2024-04-01 11:44:00,0.5
2024-04-01 11:45:00,0.5
2024-04-01 11:46:00,0.5
2024-04-01 11:47:00,0.5
2024-04-01 11:48:00,0.5
2024-04-01 11:49:00,0.5
2024-04-01 11:50:00,0.5
2024-04-01 11:51:00,0.5
2024-04-01 11:52:00,0.5
2024-04-01 11:53:00,0.5
2024-04-01 11:54:00,0.5
2024-04-01 11:55:00,0.5
2024-04-01 11:56:00,0.5
2024-04-01 11:57:00,0.5
2024-04-01 11:58:00,0.5
2024-04-01 11:59:00,0.5
2024-04-01 12:00:00,0.5
2024-04-01 12:01:00,0.5
2024-04-01 12:02:00,0.5
2024-04-01 12:03:00,0.5
2024-04-01 12:04:00,0.6
2024-04-01 12:05:00,0.5
2024-04-01 12:06:00,0.6
2024-04-01 12:07:00,0.6
2024-04-01 12:08:00,0.6
2024-04-01 12:09:00,0.6
2024-04-01 12:10:00,0.6
2024-04-01 12:11:00,0.6
2024-04-01 12:12:00,0.6
2024-04-01 12:13:00,0.6
2024-04-01 12:14:00,0.6
2024-04-01 12:15:00,0.6
2024-04-01 12:16:00,0.6
2024-04-01 12:17:00,0.6
2024-04-01 12:18:00,0.6
2024-04-01 12:19:00,0.6
2024-04-01 12:20:00,0.6
2024-04-01 12:21:00,0.6
2024-04-01 12:22:00,0.6
2024-04-01 12:23:00,0.6
2024-04-01 12:24:00,0.6
2024-04-01 12:25:00,0.6
2024-04-01 12:26:00,0.6
2024-04-01 12:27:00,0.6
2024-04-01 12:28:00,0.6
2024-04-01 12:29:00,0.6
2024-04-01 12:30:00,0.6
2024-04-01 12:31:00,0.6
2024-04-01 12:32:00,0.6
2024-04-01 12:33:00,0.6
2024-04-01 12:34:00,0.6
2024-04-01 12:35:00,0.6
2024-04-01 16:23:00,0.5
2024-04-01 16:24:00,0.4
2024-04-01 16:41:00,0.4
2024-04-01 16:42:00,0.4
2024-04-01 16:43:00,0.4
2024-04-01 16:44:00,0.4
2024-04-01 16:57:00,0.4
2024-04-01 16:58:00,0.4
2024-04-01 16:59:00,0.4
2024-04-01 17:00:00,0.4
2024-04-01 17:01:00,0.3
2024-04-01 17:02:00,0.3
2024-04-01 17:03:00,0.4
2024-04-01 17:04:00,0.4
2024-04-01 17:05:00,0.4
2024-04-01 17:06:00,0.4
2024-04-01 17:07:00,0.4
2024-04-01 17:08:00,0.4
2024-04-01 17:09:00,0.4
2024-04-01 17:10:00,0.4
2024-04-01 17:11:00,0.4
2024-04-01 17:12:00,0.4
2024-04-01 17:13:00,0.4
2024-04-01 17:14:00,0.4
2024-04-01 17:15:00,0.4
2024-04-01 17:16:00,0.4
2024-04-01 17:17:00,0.7
2024-04-01 17:29:00,0.4
2024-04-01 17:30:00,0.4
2024-04-01 17:31:00,0.4
2024-04-01 17:32:00,0.4
2024-04-01 17:33:00,0.4
2024-04-01 17:34:00,0.4
2024-04-01 17:35:00,0.4
2024-04-01 17:36:00,0.4
2024-04-01 17:37:00,0.5
2024-04-01 17:49:00,0.4
2024-04-01 17:50:00,0.4
2024-04-01 17:51:00,0.4
2024-04-01 17:52:00,0.4
2024-04-01 17:53:00,0.4
2024-04-01 17:54:00,0.3
2024-04-01 17:55:00,0.3
2024-04-01 17:56:00,0.3
2024-04-01 17:57:00,0.3
2024-04-01 17:58:00,0.4
