deviceId,sensorTime,vibration mm/s
"WVMS_CC50E30D9DFA02","14-09-2023 16:41","10.1"
"WVMS_CC50E30D9DFA02","14-09-2023 16:46","10.5"
"WVMS_CC50E30D9DFA02","14-09-2023 16:51","10.8"
"WVMS_CC50E30D9DFA02","14-09-2023 16:56","10.6"
"WVMS_CC50E30D9DFA02","14-09-2023 17:01","10.2"
"WVMS_CC50E30D9DFA02","14-09-2023 17:06","10.0"
"WVMS_CC50E30D9DFA02","14-09-2023 17:11","10.2"
"WVMS_CC50E30D9DFA02","14-09-2023 17:16","10.1"
"WVMS_CC50E30D9DFA02","14-09-2023 17:21","10.6"
"WVMS_CC50E30D9DFA02","14-09-2023 17:26","10.2"
"WVMS_CC50E30D9DFA02","14-09-2023 17:32","9.8"
"WVMS_CC50E30D9DFA02","14-09-2023 17:38","10.2"
"WVMS_CC50E30D9DFA02","14-09-2023 17:43","10.2"
"WVMS_CC50E30D9DFA02","14-09-2023 17:48","10.0"
"WVMS_CC50E30D9DFA02","14-09-2023 17:53","10.3"
"WVMS_CC50E30D9DFA02","14-09-2023 17:58","10.6"
"WVMS_CC50E30D9DFA02","14-09-2023 18:03","10.6"
"WVMS_CC50E30D9DFA02","14-09-2023 18:08","9.9"
"WVMS_CC50E30D9DFA02","14-09-2023 18:13","9.9"
"WVMS_CC50E30D9DFA02","14-09-2023 18:18","9.8"
"WVMS_CC50E30D9DFA02","14-09-2023 18:23","10.2"
"WVMS_CC50E30D9DFA02","14-09-2023 18:28","10.1"
"WVMS_CC50E30D9DFA02","14-09-2023 18:33","10.1"
"WVMS_CC50E30D9DFA02","14-09-2023 18:38","10.2"
"WVMS_CC50E30D9DFA02","14-09-2023 18:43","8.8"
"WVMS_CC50E30D9DFA02","14-09-2023 18:48","10.2"
"WVMS_CC50E30D9DFA02","14-09-2023 18:53","11.0"
"WVMS_CC50E30D9DFA02","14-09-2023 18:58","10.1"
"WVMS_CC50E30D9DFA02","14-09-2023 19:03","10.2"
"WVMS_CC50E30D9DFA02","14-09-2023 19:08","10.2"
"WVMS_CC50E30D9DFA02","14-09-2023 19:13","10.2"
"WVMS_CC50E30D9DFA02","14-09-2023 19:18","9.7"
"WVMS_CC50E30D9DFA02","14-09-2023 19:23","10.1"
"WVMS_CC50E30D9DFA02","14-09-2023 19:28","10.0"
"WVMS_CC50E30D9DFA02","14-09-2023 19:33","9.8"
"WVMS_CC50E30D9DFA02","14-09-2023 19:38","9.8"
"WVMS_CC50E30D9DFA02","14-09-2023 19:43","9.6"
"WVMS_CC50E30D9DFA02","14-09-2023 19:48","10.1"
"WVMS_CC50E30D9DFA02","14-09-2023 19:53","10.1"
"WVMS_CC50E30D9DFA02","14-09-2023 19:58","9.8"
"WVMS_CC50E30D9DFA02","14-09-2023 20:03","9.8"
"WVMS_CC50E30D9DFA02","14-09-2023 20:08","10.2"
"WVMS_CC50E30D9DFA02","14-09-2023 20:13","10.0"
"WVMS_CC50E30D9DFA02","14-09-2023 20:18","9.8"
"WVMS_CC50E30D9DFA02","14-09-2023 20:23","10.3"
"WVMS_CC50E30D9DFA02","14-09-2023 20:28","10.1"
"WVMS_CC50E30D9DFA02","14-09-2023 20:33","10.8"
"WVMS_CC50E30D9DFA02","14-09-2023 20:38","10.2"
"WVMS_CC50E30D9DFA02","14-09-2023 20:43","10.7"
"WVMS_CC50E30D9DFA02","14-09-2023 20:48","10.6"
"WVMS_CC50E30D9DFA02","14-09-2023 20:53","10.1"
"WVMS_CC50E30D9DFA02","14-09-2023 20:58","9.9"
"WVMS_CC50E30D9DFA02","14-09-2023 21:03","10.0"
"WVMS_CC50E30D9DFA02","14-09-2023 21:08","10.1"
"WVMS_CC50E30D9DFA02","14-09-2023 21:13","9.8"
"WVMS_CC50E30D9DFA02","14-09-2023 21:18","10.2"
"WVMS_CC50E30D9DFA02","14-09-2023 21:24","10.3"
"WVMS_CC50E30D9DFA02","14-09-2023 21:29","9.8"
"WVMS_CC50E30D9DFA02","14-09-2023 21:34","10.6"
"WVMS_CC50E30D9DFA02","14-09-2023 21:39","10.1"
"WVMS_CC50E30D9DFA02","14-09-2023 21:45","9.9"
"WVMS_CC50E30D9DFA02","14-09-2023 21:50","10.3"
"WVMS_CC50E30D9DFA02","14-09-2023 21:55","9.9"
"WVMS_CC50E30D9DFA02","14-09-2023 22:00","10.3"
"WVMS_CC50E30D9DFA02","14-09-2023 22:05","10.3"
"WVMS_CC50E30D9DFA02","14-09-2023 22:10","10.2"
"WVMS_CC50E30D9DFA02","14-09-2023 22:15","10.2"
"WVMS_CC50E30D9DFA02","14-09-2023 22:20","10.3"
"WVMS_CC50E30D9DFA02","14-09-2023 22:25","9.5"
"WVMS_CC50E30D9DFA02","14-09-2023 22:30","9.9"
"WVMS_CC50E30D9DFA02","14-09-2023 22:35","9.9"
"WVMS_CC50E30D9DFA02","14-09-2023 22:40","10.1"
"WVMS_CC50E30D9DFA02","14-09-2023 22:45","10.3"
"WVMS_CC50E30D9DFA02","14-09-2023 22:50","8.9"
"WVMS_CC50E30D9DFA02","14-09-2023 22:55","10.4"
"WVMS_CC50E30D9DFA02","14-09-2023 23:00","10.4"
"WVMS_CC50E30D9DFA02","14-09-2023 23:05","10.3"
"WVMS_CC50E30D9DFA02","14-09-2023 23:10","10.4"
"WVMS_CC50E30D9DFA02","14-09-2023 23:15","10.2"
"WVMS_CC50E30D9DFA02","14-09-2023 23:20","10.2"
"WVMS_CC50E30D9DFA02","14-09-2023 23:25","10.2"
"WVMS_CC50E30D9DFA02","14-09-2023 23:30","10.2"
"WVMS_CC50E30D9DFA02","14-09-2023 23:35","10.4"
"WVMS_CC50E30D9DFA02","14-09-2023 23:40","10.2"
"WVMS_CC50E30D9DFA02","14-09-2023 23:45","10.3"
"WVMS_CC50E30D9DFA02","14-09-2023 23:50","10.4"
"WVMS_CC50E30D9DFA02","14-09-2023 23:55","10.7"
"WVMS_CC50E30D9DFA02","15-09-2023 00:00","10.3"
"WVMS_CC50E30D9DFA02","15-09-2023 00:05","10.2"
"WVMS_CC50E30D9DFA02","15-09-2023 00:10","11.1"
"WVMS_CC50E30D9DFA02","15-09-2023 00:15","11.1"
"WVMS_CC50E30D9DFA02","15-09-2023 00:21","10.1"
"WVMS_CC50E30D9DFA02","15-09-2023 00:26","10.7"
"WVMS_CC50E30D9DFA02","15-09-2023 00:32","10.3"
"WVMS_CC50E30D9DFA02","15-09-2023 00:37","9.9"
"WVMS_CC50E30D9DFA02","15-09-2023 00:42","10.4"
"WVMS_CC50E30D9DFA02","15-09-2023 00:47","10.4"
"WVMS_CC50E30D9DFA02","15-09-2023 00:52","10.3"
"WVMS_CC50E30D9DFA02","15-09-2023 00:57","10.1"
"WVMS_CC50E30D9DFA02","15-09-2023 01:02","10.2"
"WVMS_CC50E30D9DFA02","15-09-2023 01:07","10.0"
"WVMS_CC50E30D9DFA02","15-09-2023 01:12","9.0"
"WVMS_CC50E30D9DFA02","15-09-2023 01:17","10.1"
"WVMS_CC50E30D9DFA02","15-09-2023 01:22","9.9"
"WVMS_CC50E30D9DFA02","15-09-2023 01:27","10.1"
"WVMS_CC50E30D9DFA02","15-09-2023 01:32","9.9"
"WVMS_CC50E30D9DFA02","15-09-2023 01:37","9.9"
"WVMS_CC50E30D9DFA02","15-09-2023 01:42","10.2"
"WVMS_CC50E30D9DFA02","15-09-2023 01:47","10.2"
"WVMS_CC50E30D9DFA02","15-09-2023 01:52","10.9"
"WVMS_CC50E30D9DFA02","15-09-2023 01:57","10.2"
"WVMS_CC50E30D9DFA02","15-09-2023 02:02","10.7"
"WVMS_CC50E30D9DFA02","15-09-2023 02:07","10.4"
"WVMS_CC50E30D9DFA02","15-09-2023 02:12","10.3"
"WVMS_CC50E30D9DFA02","15-09-2023 02:17","10.9"
"WVMS_CC50E30D9DFA02","15-09-2023 02:23","10.3"
"WVMS_CC50E30D9DFA02","15-09-2023 02:28","9.7"
"WVMS_CC50E30D9DFA02","15-09-2023 02:33","10.0"
"WVMS_CC50E30D9DFA02","15-09-2023 02:38","10.0"
"WVMS_CC50E30D9DFA02","15-09-2023 02:43","9.7"
"WVMS_CC50E30D9DFA02","15-09-2023 02:48","10.1"
"WVMS_CC50E30D9DFA02","15-09-2023 02:53","10.3"
"WVMS_CC50E30D9DFA02","15-09-2023 02:58","10.3"
"WVMS_CC50E30D9DFA02","15-09-2023 03:03","10.2"
"WVMS_CC50E30D9DFA02","15-09-2023 03:08","10.3"
"WVMS_CC50E30D9DFA02","15-09-2023 03:13","10.3"
"WVMS_CC50E30D9DFA02","15-09-2023 03:18","10.3"
"WVMS_CC50E30D9DFA02","15-09-2023 03:23","10.3"
"WVMS_CC50E30D9DFA02","15-09-2023 03:28","10.5"
"WVMS_CC50E30D9DFA02","15-09-2023 03:33","10.3"
"WVMS_CC50E30D9DFA02","15-09-2023 03:38","10.3"
"WVMS_CC50E30D9DFA02","15-09-2023 03:43","10.1"
"WVMS_CC50E30D9DFA02","15-09-2023 03:48","10.7"
"WVMS_CC50E30D9DFA02","15-09-2023 03:53","10.7"
"WVMS_CC50E30D9DFA02","15-09-2023 03:58","9.8"
"WVMS_CC50E30D9DFA02","15-09-2023 04:03","10.0"
"WVMS_CC50E30D9DFA02","15-09-2023 04:08","10.3"
"WVMS_CC50E30D9DFA02","15-09-2023 04:13","10.2"
"WVMS_CC50E30D9DFA02","15-09-2023 04:18","9.9"
"WVMS_CC50E30D9DFA02","15-09-2023 04:23","10.0"
"WVMS_CC50E30D9DFA02","15-09-2023 04:28","9.6"
"WVMS_CC50E30D9DFA02","15-09-2023 04:33","10.1"
"WVMS_CC50E30D9DFA02","15-09-2023 04:38","10.0"
"WVMS_CC50E30D9DFA02","15-09-2023 04:43","10.2"
