deviceId,sensorTime,vibration mm/s
"WVMS_CC50E30D9E1502","05-09-2023 16:41","17.9"
"WVMS_CC50E30D9E1502","05-09-2023 16:46","18.1"
"WVMS_CC50E30D9E1502","05-09-2023 16:51","17.8"
"WVMS_CC50E30D9E1502","05-09-2023 16:56","18.0"
"WVMS_CC50E30D9E1502","05-09-2023 17:01","17.9"
"WVMS_CC50E30D9E1502","05-09-2023 17:06","21.5"
"WVMS_CC50E30D9E1502","05-09-2023 17:11","17.9"
"WVMS_CC50E30D9E1502","05-09-2023 17:16","17.8"
"WVMS_CC50E30D9E1502","05-09-2023 17:21","17.8"
"WVMS_CC50E30D9E1502","05-09-2023 17:26","17.6"
"WVMS_CC50E30D9E1502","05-09-2023 17:31","17.8"
"WVMS_CC50E30D9E1502","05-09-2023 17:36","20.0"
"WVMS_CC50E30D9E1502","05-09-2023 17:41","18.4"
"WVMS_CC50E30D9E1502","05-09-2023 17:46","17.6"
"WVMS_CC50E30D9E1502","05-09-2023 17:51","23.5"
"WVMS_CC50E30D9E1502","05-09-2023 17:56","18.1"
"WVMS_CC50E30D9E1502","05-09-2023 18:01","22.8"
"WVMS_CC50E30D9E1502","05-09-2023 18:06","21.8"
"WVMS_CC50E30D9E1502","05-09-2023 18:11","17.9"
"WVMS_CC50E30D9E1502","05-09-2023 18:16","17.6"
"WVMS_CC50E30D9E1502","05-09-2023 18:21","17.8"
"WVMS_CC50E30D9E1502","05-09-2023 18:26","17.8"
"WVMS_CC50E30D9E1502","05-09-2023 18:31","19.3"
"WVMS_CC50E30D9E1502","05-09-2023 18:36","17.4"
"WVMS_CC50E30D9E1502","05-09-2023 18:41","20.2"
"WVMS_CC50E30D9E1502","05-09-2023 18:46","17.5"
"WVMS_CC50E30D9E1502","05-09-2023 18:51","23.1"
"WVMS_CC50E30D9E1502","05-09-2023 18:56","17.8"
"WVMS_CC50E30D9E1502","05-09-2023 19:01","17.8"
"WVMS_CC50E30D9E1502","05-09-2023 19:06","17.9"
"WVMS_CC50E30D9E1502","05-09-2023 19:11","17.6"
"WVMS_CC50E30D9E1502","05-09-2023 19:16","17.9"
"WVMS_CC50E30D9E1502","05-09-2023 19:21","18.1"
"WVMS_CC50E30D9E1502","05-09-2023 19:26","17.6"
"WVMS_CC50E30D9E1502","05-09-2023 19:31","18.0"
"WVMS_CC50E30D9E1502","05-09-2023 19:36","18.0"
"WVMS_CC50E30D9E1502","05-09-2023 19:41","17.9"
"WVMS_CC50E30D9E1502","05-09-2023 19:46","19.1"
"WVMS_CC50E30D9E1502","05-09-2023 19:51","20.0"
"WVMS_CC50E30D9E1502","05-09-2023 19:56","17.4"
"WVMS_CC50E30D9E1502","05-09-2023 20:01","17.7"
"WVMS_CC50E30D9E1502","05-09-2023 20:06","17.5"
"WVMS_CC50E30D9E1502","05-09-2023 20:11","17.7"
"WVMS_CC50E30D9E1502","05-09-2023 20:16","17.6"
"WVMS_CC50E30D9E1502","05-09-2023 20:21","23.7"
"WVMS_CC50E30D9E1502","05-09-2023 20:26","17.6"
"WVMS_CC50E30D9E1502","05-09-2023 20:31","17.7"
"WVMS_CC50E30D9E1502","05-09-2023 20:36","17.6"
"WVMS_CC50E30D9E1502","05-09-2023 20:41","22.0"
"WVMS_CC50E30D9E1502","05-09-2023 20:46","17.6"
"WVMS_CC50E30D9E1502","05-09-2023 20:51","24.4"
"WVMS_CC50E30D9E1502","05-09-2023 20:56","17.7"
"WVMS_CC50E30D9E1502","05-09-2023 21:01","17.5"
"WVMS_CC50E30D9E1502","05-09-2023 21:06","17.6"
"WVMS_CC50E30D9E1502","05-09-2023 21:11","18.1"
"WVMS_CC50E30D9E1502","05-09-2023 21:16","17.5"
"WVMS_CC50E30D9E1502","05-09-2023 21:21","17.4"
"WVMS_CC50E30D9E1502","05-09-2023 21:26","17.6"
"WVMS_CC50E30D9E1502","05-09-2023 21:31","17.3"
"WVMS_CC50E30D9E1502","05-09-2023 21:36","17.6"
"WVMS_CC50E30D9E1502","05-09-2023 21:41","17.4"
"WVMS_CC50E30D9E1502","05-09-2023 21:46","23.8"
"WVMS_CC50E30D9E1502","05-09-2023 21:51","24.1"
"WVMS_CC50E30D9E1502","05-09-2023 21:56","19.0"
"WVMS_CC50E30D9E1502","05-09-2023 22:01","17.7"
"WVMS_CC50E30D9E1502","05-09-2023 22:06","17.6"
"WVMS_CC50E30D9E1502","05-09-2023 22:11","17.4"
"WVMS_CC50E30D9E1502","05-09-2023 22:16","19.9"
"WVMS_CC50E30D9E1502","05-09-2023 22:21","17.7"
"WVMS_CC50E30D9E1502","05-09-2023 22:26","17.8"
"WVMS_CC50E30D9E1502","05-09-2023 22:31","17.6"
"WVMS_CC50E30D9E1502","05-09-2023 22:36","17.8"
"WVMS_CC50E30D9E1502","05-09-2023 22:41","23.8"
"WVMS_CC50E30D9E1502","05-09-2023 22:46","17.7"
"WVMS_CC50E30D9E1502","05-09-2023 22:51","17.6"
"WVMS_CC50E30D9E1502","05-09-2023 22:56","17.8"
"WVMS_CC50E30D9E1502","05-09-2023 23:01","17.5"
"WVMS_CC50E30D9E1502","05-09-2023 23:06","19.0"
"WVMS_CC50E30D9E1502","05-09-2023 23:11","17.7"
"WVMS_CC50E30D9E1502","05-09-2023 23:16","17.7"
"WVMS_CC50E30D9E1502","05-09-2023 23:21","17.8"
"WVMS_CC50E30D9E1502","05-09-2023 23:26","17.7"
"WVMS_CC50E30D9E1502","05-09-2023 23:31","21.2"
"WVMS_CC50E30D9E1502","05-09-2023 23:36","18.0"
